DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 14:33:38.447,13,-3.86065,MCU is reading properly,253,-12,G,68.95 Hz,4.12 Hz,0,362,110
Mon.May.02.2022 14:33:38.463,13,-3.86147,MCU is reading properly,253,-12,G,65.28 Hz,4.12 Hz,0,362,111
Mon.May.02.2022 14:33:38.463,13,-3.86147,MCU is reading properly,253,-12,G,65.91 Hz,4.12 Hz,0,362,111
Mon.May.02.2022 14:33:38.463,13,-3.86097,MCU is reading properly,253,-12,G,65.80 Hz,4.12 Hz,0,362,111
Mon.May.02.2022 14:33:38.463,13,-3.85913,MCU is reading properly,253,-12,G,65.82 Hz,4.12 Hz,0,362,111
Mon.May.02.2022 14:33:38.479,13,-3.85595,MCU is reading properly,253,-12,G,65.82 Hz,4.12 Hz,0,362,112
Mon.May.02.2022 14:33:38.601,13,-3.85144,MCU is reading properly,253,-12,G,65.82 Hz,4.12 Hz,0,370,113
Mon.May.02.2022 14:33:38.601,13,-3.8456,MCU is reading properly,253,-12,G,46.74 Hz,4.12 Hz,0,370,113
Mon.May.02.2022 14:33:38.601,13,-3.83847,MCU is reading properly,253,-12,G,48.47 Hz,4.12 Hz,0,370,113
Mon.May.02.2022 14:33:38.601,13,-3.83019,MCU is reading properly,253,-12,G,48.31 Hz,4.12 Hz,0,370,113
Mon.May.02.2022 14:33:38.617,13,-3.82069,MCU is reading properly,253,-12,G,70.55 Hz,4.12 Hz,0,370,114
Mon.May.02.2022 14:33:38.617,13,-3.82069,MCU is reading properly,253,-12,G,66.39 Hz,4.12 Hz,0,370,114
Mon.May.02.2022 14:33:38.617,13,-3.81001,MCU is reading properly,253,-12,G,67.13 Hz,4.12 Hz,0,370,114
Mon.May.02.2022 14:33:38.617,13,-3.79808,MCU is reading properly,253,-12,G,67.00 Hz,4.12 Hz,0,370,114
Mon.May.02.2022 14:33:38.632,13,-3.79808,MCU is reading properly,253,-12,G,67.02 Hz,4.12 Hz,0,370,115
Mon.May.02.2022 14:33:38.632,13,-3.78496,MCU is reading properly,253,-12,G,67.02 Hz,4.12 Hz,0,370,115
Mon.May.02.2022 14:33:38.632,13,-3.77075,MCU is reading properly,253,-12,G,67.02 Hz,4.12 Hz,0,370,115
Mon.May.02.2022 14:33:38.763,13,-3.7553,MCU is reading properly,253,-12,G,67.02 Hz,4.12 Hz,0,401,116
Mon.May.02.2022 14:33:38.763,13,-3.73871,MCU is reading properly,253,-12,G,46.99 Hz,4.12 Hz,0,401,116
Mon.May.02.2022 14:33:38.763,13,-3.72101,MCU is reading properly,253,-12,G,48.83 Hz,4.12 Hz,0,401,116
Mon.May.02.2022 14:33:38.763,13,-3.70222,MCU is reading properly,253,-12,G,48.65 Hz,4.12 Hz,0,401,116
Mon.May.02.2022 14:33:38.763,13,-3.6823,MCU is reading properly,253,-12,G,48.67 Hz,4.12 Hz,0,401,116
Mon.May.02.2022 14:33:38.779,13,-3.6614,MCU is reading properly,253,-12,G,68.93 Hz,4.12 Hz,0,401,117
Mon.May.02.2022 14:33:38.779,13,-3.63949,MCU is reading properly,253,-12,G,65.28 Hz,4.12 Hz,0,401,117
Mon.May.02.2022 14:33:38.779,13,-3.61653,MCU is reading properly,253,-12,G,65.91 Hz,4.12 Hz,0,401,117
Mon.May.02.2022 14:33:38.795,13,-3.61653,MCU is reading properly,253,-12,G,65.80 Hz,4.12 Hz,0,401,118
