DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 15:33:52.664,13,-0.0872267,MCU is reading properly,253,-12,G,65.38 Hz,1.47 Hz,0,409,428
Mon.May.02.2022 15:33:52.679,13,-0.157586,MCU is reading properly,253,-12,G,47.22 Hz,1.47 Hz,0,409,429
Mon.May.02.2022 15:33:52.679,13,-0.228032,MCU is reading properly,253,-12,G,48.90 Hz,1.47 Hz,0,409,429
Mon.May.02.2022 15:33:52.679,13,-0.298298,MCU is reading properly,253,-12,G,48.74 Hz,1.47 Hz,0,409,429
Mon.May.02.2022 15:33:52.695,13,-0.298298,MCU is reading properly,253,-12,G,69.49 Hz,1.47 Hz,0,409,430
Mon.May.02.2022 15:33:52.695,13,-0.368122,MCU is reading properly,253,-12,G,65.70 Hz,1.47 Hz,0,409,430
Mon.May.02.2022 15:33:52.695,13,-0.437866,MCU is reading properly,253,-12,G,66.36 Hz,1.47 Hz,0,409,430
Mon.May.02.2022 15:33:52.695,13,-0.437866,MCU is reading properly,253,-12,G,66.25 Hz,1.47 Hz,0,409,430
Mon.May.02.2022 15:33:52.711,13,-0.507064,MCU is reading properly,253,-12,G,66.27 Hz,1.47 Hz,0,409,431
Mon.May.02.2022 15:33:52.711,13,-0.575861,MCU is reading properly,253,-12,G,66.26 Hz,1.47 Hz,0,409,431
Mon.May.02.2022 15:33:52.711,13,-0.644415,MCU is reading properly,253,-12,G,66.26 Hz,1.47 Hz,0,409,431
Mon.May.02.2022 15:33:52.711,13,-0.712262,MCU is reading properly,253,-12,G,66.26 Hz,1.47 Hz,0,409,431
Mon.May.02.2022 15:33:52.788,13,-0.779557,MCU is reading properly,253,-12,G,66.26 Hz,1.39 Hz,0,362,432
Mon.May.02.2022 15:33:52.788,13,-0.846446,MCU is reading properly,253,-12,G,46.70 Hz,1.39 Hz,0,362,432
Mon.May.02.2022 15:33:52.788,13,-0.912677,MCU is reading properly,253,-12,G,48.48 Hz,1.39 Hz,0,362,432
Mon.May.02.2022 15:33:52.788,13,-0.978005,MCU is reading properly,253,-12,G,48.31 Hz,1.39 Hz,0,362,432
Mon.May.02.2022 15:33:52.788,13,-0.978005,MCU is reading properly,253,-12,G,70.75 Hz,1.39 Hz,0,362,432
Mon.May.02.2022 15:33:52.803,13,-1.04258,MCU is reading properly,253,-12,G,66.53 Hz,1.39 Hz,0,362,433
Mon.May.02.2022 15:33:52.803,13,-1.10635,MCU is reading properly,253,-12,G,67.29 Hz,1.39 Hz,0,362,433
Mon.May.02.2022 15:33:52.803,13,-1.16947,MCU is reading properly,253,-12,G,67.15 Hz,1.39 Hz,0,362,433
Mon.May.02.2022 15:33:52.819,13,-1.23168,MCU is reading properly,253,-12,G,67.17 Hz,1.39 Hz,0,362,434
Mon.May.02.2022 15:33:52.819,13,-1.29295,MCU is reading properly,253,-12,G,67.17 Hz,1.39 Hz,0,362,434
Mon.May.02.2022 15:33:52.951,13,-1.35306,MCU is reading properly,253,-12,G,67.17 Hz,1.39 Hz,0,370,435
Mon.May.02.2022 15:33:52.956,13,-1.41215,MCU is reading properly,253,-12,G,46.80 Hz,1.39 Hz,0,370,435
Mon.May.02.2022 15:33:52.956,13,-1.46948,MCU is reading properly,253,-12,G,48.65 Hz,1.39 Hz,0,370,435
Mon.May.02.2022 15:33:52.956,13,-1.52607,MCU is reading properly,253,-12,G,48.48 Hz,1.39 Hz,0,370,435
Mon.May.02.2022 15:33:52.956,13,-1.5817,MCU is reading properly,253,-12,G,67.84 Hz,1.39 Hz,0,370,435
Mon.May.02.2022 15:33:52.956,13,-1.5817,MCU is reading properly,253,-12,G,64.46 Hz,1.39 Hz,0,370,435
Mon.May.02.2022 15:33:52.972,13,-1.636,MCU is reading properly,253,-12,G,65.02 Hz,1.39 Hz,0,370,436
Mon.May.02.2022 15:33:52.972,13,-1.68926,MCU is reading properly,253,-12,G,64.93 Hz,1.39 Hz,0,370,436
Mon.May.02.2022 15:33:52.972,13,-1.68926,MCU is reading properly,253,-12,G,64.94 Hz,1.39 Hz,0,370,436
Mon.May.02.2022 15:33:52.972,13,-1.74112,MCU is reading properly,253,-12,G,64.94 Hz,1.39 Hz,0,370,436
Mon.May.02.2022 15:33:52.988,13,-1.79172,MCU is reading properly,253,-12,G,64.94 Hz,1.39 Hz,0,370,437
Mon.May.02.2022 15:33:53.105,13,-1.84103,MCU is reading properly,253,-12,G,64.94 Hz,1.39 Hz,0,401,438
