DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 14:52:11.173,13,-1.97152,MCU is reading properly,253,-12,G,0.00 Hz,861.33 Hz,0,763,0
Mon.May.02.2022 14:52:11.173,13,-1.97152,MCU is reading properly,253,-12,G,79.36 Hz,861.33 Hz,0,763,0
Mon.May.02.2022 14:52:11.173,13,-2.01568,MCU is reading properly,253,-12,G,63.39 Hz,861.33 Hz,0,763,0
Mon.May.02.2022 14:52:11.173,13,-2.05843,MCU is reading properly,253,-12,G,66.07 Hz,861.33 Hz,0,763,0
Mon.May.02.2022 14:52:11.173,13,-2.10035,MCU is reading properly,253,-12,G,65.60 Hz,861.33 Hz,0,763,0
Mon.May.02.2022 14:52:11.186,13,-2.14113,MCU is reading properly,253,-12,G,65.68 Hz,861.33 Hz,0,763,1
Mon.May.02.2022 14:52:11.186,13,-2.18048,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,1
Mon.May.02.2022 14:52:11.186,13,-2.21815,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,1
Mon.May.02.2022 14:52:11.202,13,-2.25425,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,2
Mon.May.02.2022 14:52:11.202,13,-2.28877,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,2
Mon.May.02.2022 14:52:11.210,13,-2.3217,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,2
Mon.May.02.2022 14:52:11.210,13,2.18944,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,2
Mon.May.02.2022 14:52:11.210,13,2.187,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,2
Mon.May.02.2022 14:52:11.210,13,2.18645,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,2
Mon.May.02.2022 14:52:11.210,13,2.18767,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,2
Mon.May.02.2022 14:52:11.210,13,2.19065,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,2
Mon.May.02.2022 14:52:11.226,13,2.19538,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,3
Mon.May.02.2022 14:52:11.226,13,2.20181,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,3
Mon.May.02.2022 14:52:11.226,13,2.20181,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,3
Mon.May.02.2022 14:52:11.226,13,2.20991,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,3
Mon.May.02.2022 14:52:11.242,13,2.21968,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,763,4
Mon.May.02.2022 14:52:11.326,13,2.23107,MCU is reading properly,253,-12,G,65.67 Hz,861.33 Hz,0,409,5
Mon.May.02.2022 14:52:11.326,13,2.24404,MCU is reading properly,253,-12,G,46.93 Hz,861.33 Hz,0,409,5
Mon.May.02.2022 14:52:11.326,13,2.25861,MCU is reading properly,253,-12,G,48.64 Hz,861.33 Hz,0,409,5
Mon.May.02.2022 14:52:11.326,13,2.27469,MCU is reading properly,253,-12,G,48.48 Hz,861.33 Hz,0,409,5
