DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 14:31:25.889,13,1.98853,MCU is reading properly,253,-12,G,65.82 Hz,4.35 Hz,0,409,120
Mon.May.02.2022 14:31:25.904,13,1.98853,MCU is reading properly,253,-12,G,47.45 Hz,4.35 Hz,0,409,121
Mon.May.02.2022 14:31:25.904,13,2.00145,MCU is reading properly,253,-12,G,49.17 Hz,4.35 Hz,0,409,121
Mon.May.02.2022 14:31:25.904,13,2.0151,MCU is reading properly,253,-12,G,49.00 Hz,4.35 Hz,0,409,121
Mon.May.02.2022 14:31:25.920,13,2.02948,MCU is reading properly,253,-12,G,49.02 Hz,4.35 Hz,0,409,122
Mon.May.02.2022 14:31:25.920,13,2.04451,MCU is reading properly,253,-12,G,49.02 Hz,4.35 Hz,0,409,122
Mon.May.02.2022 14:31:25.920,13,2.06021,MCU is reading properly,253,-12,G,68.67 Hz,4.35 Hz,0,409,122
Mon.May.02.2022 14:31:25.920,13,2.07644,MCU is reading properly,253,-12,G,65.16 Hz,4.35 Hz,0,409,122
Mon.May.02.2022 14:31:25.935,13,2.0932,MCU is reading properly,253,-12,G,65.76 Hz,4.35 Hz,0,409,123
Mon.May.02.2022 14:31:25.935,13,2.11046,MCU is reading properly,253,-12,G,65.65 Hz,4.35 Hz,0,409,123
Mon.May.02.2022 14:31:25.935,13,2.12816,MCU is reading properly,253,-12,G,65.67 Hz,4.35 Hz,0,409,123
Mon.May.02.2022 14:31:25.935,13,2.12816,MCU is reading properly,253,-12,G,65.67 Hz,4.35 Hz,0,409,123
Mon.May.02.2022 14:31:26.004,13,2.14625,MCU is reading properly,253,-12,G,65.67 Hz,4.35 Hz,0,362,124
Mon.May.02.2022 14:31:26.004,13,2.14625,MCU is reading properly,253,-12,G,47.02 Hz,4.35 Hz,0,362,124
Mon.May.02.2022 14:31:26.004,13,2.16471,MCU is reading properly,253,-12,G,48.73 Hz,4.35 Hz,0,362,124
Mon.May.02.2022 14:31:26.004,13,2.18347,MCU is reading properly,253,-12,G,48.57 Hz,4.35 Hz,0,362,124
Mon.May.02.2022 14:31:26.020,13,2.20249,MCU is reading properly,253,-12,G,48.58 Hz,4.35 Hz,0,362,125
Mon.May.02.2022 14:31:26.020,13,2.22172,MCU is reading properly,253,-12,G,72.13 Hz,4.35 Hz,0,362,125
Mon.May.02.2022 14:31:26.020,13,2.24111,MCU is reading properly,253,-12,G,67.54 Hz,4.35 Hz,0,362,125
Mon.May.02.2022 14:31:26.036,13,2.26062,MCU is reading properly,253,-12,G,68.39 Hz,4.35 Hz,0,362,126
Mon.May.02.2022 14:31:26.036,13,2.28019,MCU is reading properly,253,-12,G,68.23 Hz,4.35 Hz,0,362,126
Mon.May.02.2022 14:31:26.036,13,2.29983,MCU is reading properly,253,-12,G,68.26 Hz,4.35 Hz,0,362,126
Mon.May.02.2022 14:31:26.168,13,2.31937,MCU is reading properly,253,-12,G,68.25 Hz,3.71 Hz,0,362,127
Mon.May.02.2022 14:31:26.174,13,2.33882,MCU is reading properly,253,-12,G,47.23 Hz,3.71 Hz,0,362,127
Mon.May.02.2022 14:31:26.174,13,2.33882,MCU is reading properly,253,-12,G,49.19 Hz,3.71 Hz,0,362,127
Mon.May.02.2022 14:31:26.174,13,2.35813,MCU is reading properly,253,-12,G,49.00 Hz,3.71 Hz,0,362,127
Mon.May.02.2022 14:31:26.174,13,2.37731,MCU is reading properly,253,-12,G,68.87 Hz,3.71 Hz,0,362,127
Mon.May.02.2022 14:31:26.174,13,2.39618,MCU is reading properly,253,-12,G,65.29 Hz,3.71 Hz,0,362,127
Mon.May.02.2022 14:31:26.189,13,2.41481,MCU is reading properly,253,-12,G,65.91 Hz,3.71 Hz,0,362,128
Mon.May.02.2022 14:31:26.189,13,2.43308,MCU is reading properly,253,-12,G,65.80 Hz,3.71 Hz,0,362,128
Mon.May.02.2022 14:31:26.189,13,2.45096,MCU is reading properly,253,-12,G,65.82 Hz,3.71 Hz,0,362,128
Mon.May.02.2022 14:31:26.189,13,2.46838,MCU is reading properly,253,-12,G,65.82 Hz,3.71 Hz,0,362,128
Mon.May.02.2022 14:31:26.323,13,2.4853,MCU is reading properly,253,-12,G,65.82 Hz,3.71 Hz,0,409,129
Mon.May.02.2022 14:31:26.327,13,2.50152,MCU is reading properly,253,-12,G,47.01 Hz,3.71 Hz,0,409,129
Mon.May.02.2022 14:31:26.331,13,2.50152,MCU is reading properly,253,-12,G,48.73 Hz,3.71 Hz,0,409,129
Mon.May.02.2022 14:31:26.336,13,2.51723,MCU is reading properly,253,-12,G,48.57 Hz,3.71 Hz,0,409,130
Mon.May.02.2022 14:31:26.340,13,2.51723,MCU is reading properly,253,-12,G,48.58 Hz,3.71 Hz,0,409,130
Mon.May.02.2022 14:31:26.343,13,2.53229,MCU is reading properly,253,-12,G,48.58 Hz,3.71 Hz,0,409,130
Mon.May.02.2022 14:31:26.349,13,2.54665,MCU is reading properly,253,-12,G,68.76 Hz,3.71 Hz,0,409,131
Mon.May.02.2022 14:31:26.353,13,2.56006,MCU is reading properly,253,-12,G,65.14 Hz,3.71 Hz,0,409,131
Mon.May.02.2022 14:31:26.359,13,2.57263,MCU is reading properly,253,-12,G,65.76 Hz,3.71 Hz,0,409,132
Mon.May.02.2022 14:31:26.363,13,2.58439,MCU is reading properly,253,-12,G,65.65 Hz,3.71 Hz,0,409,132
Mon.May.02.2022 14:31:26.366,13,2.59529,MCU is reading properly,253,-12,G,65.67 Hz,3.71 Hz,0,409,132
Mon.May.02.2022 14:31:26.371,13,2.6053,MCU is reading properly,253,-12,G,65.67 Hz,3.71 Hz,0,409,133
Mon.May.02.2022 14:31:26.482,13,2.61436,MCU is reading properly,253,-12,G,65.67 Hz,3.71 Hz,0,362,134
Mon.May.02.2022 14:31:26.487,13,2.62246,MCU is reading properly,253,-12,G,46.41 Hz,3.71 Hz,0,362,134
Mon.May.02.2022 14:31:26.489,13,2.62954,MCU is reading properly,253,-12,G,48.13 Hz,3.71 Hz,0,362,134
Mon.May.02.2022 14:31:26.496,13,2.62954,MCU is reading properly,253,-12,G,47.97 Hz,3.71 Hz,0,362,135
Mon.May.02.2022 14:31:26.501,13,2.63558,MCU is reading properly,253,-12,G,69.83 Hz,3.71 Hz,0,362,135
Mon.May.02.2022 14:31:26.507,13,2.64052,MCU is reading properly,253,-12,G,65.81 Hz,3.71 Hz,0,362,136
Mon.May.02.2022 14:31:26.511,13,2.64434,MCU is reading properly,253,-12,G,66.52 Hz,3.71 Hz,0,362,136
Mon.May.02.2022 14:31:26.517,13,2.64699,MCU is reading properly,253,-12,G,66.39 Hz,3.71 Hz,0,362,137
Mon.May.02.2022 14:31:26.521,13,2.64844,MCU is reading properly,253,-12,G,66.42 Hz,3.71 Hz,0,362,137
Mon.May.02.2022 14:31:26.524,13,2.64867,MCU is reading properly,253,-12,G,66.41 Hz,3.71 Hz,0,362,137
Mon.May.02.2022 14:31:26.629,13,2.64764,MCU is reading properly,253,-12,G,66.41 Hz,3.71 Hz,0,370,138
Mon.May.02.2022 14:31:26.634,13,2.64533,MCU is reading properly,253,-12,G,47.76 Hz,3.71 Hz,0,370,138
Mon.May.02.2022 14:31:26.637,13,2.64169,MCU is reading properly,253,-12,G,49.53 Hz,3.71 Hz,0,370,138
Mon.May.02.2022 14:31:26.642,13,2.64169,MCU is reading properly,253,-12,G,49.35 Hz,3.71 Hz,0,370,139
Mon.May.02.2022 14:31:26.647,13,2.63673,MCU is reading properly,253,-12,G,70.55 Hz,3.71 Hz,0,370,139
Mon.May.02.2022 14:31:26.650,13,2.63673,MCU is reading properly,253,-12,G,66.57 Hz,3.71 Hz,0,370,139
Mon.May.02.2022 14:31:26.656,13,2.63042,MCU is reading properly,253,-12,G,67.28 Hz,3.71 Hz,0,370,140
Mon.May.02.2022 14:31:26.660,13,2.62272,MCU is reading properly,253,-12,G,67.15 Hz,3.71 Hz,0,370,140
Mon.May.02.2022 14:31:26.666,13,2.61361,MCU is reading properly,253,-12,G,67.17 Hz,3.71 Hz,0,370,141
Mon.May.02.2022 14:31:26.670,13,2.60308,MCU is reading properly,253,-12,G,67.17 Hz,3.71 Hz,0,370,141
