DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),mV,Comments
Mon.May.02.2022 12:27:14.111,---------------------
Mon.May.02.2022 12:27:14.111,Register Bank
Mon.May.02.2022 12:27:14.111,---------------------
Mon.May.02.2022 12:27:14.111,  <int>:	 13
Mon.May.02.2022 12:27:14.111,  <float>:	 -2.3763
Mon.May.02.2022 12:27:14.111,  <std::string>:	 MCU is reading properly
Mon.May.02.2022 12:27:14.127,  <uint8_t>:	 253
Mon.May.02.2022 12:27:14.127,  <int8_t>:	 -12
Mon.May.02.2022 12:27:14.127,  <char>:	 G
Mon.May.02.2022 12:27:14.127,---------------------
Mon.May.02.2022 12:27:14.127,
Mon.May.02.2022 12:27:14.127,---------------------
Mon.May.02.2022 12:27:14.130,Array of Integers
Mon.May.02.2022 12:27:14.130,---------------------
Mon.May.02.2022 12:27:14.130,  <int>:	 99
Mon.May.02.2022 12:27:14.130,  <int>:	 2
Mon.May.02.2022 12:27:14.130,  <int>:	 3
Mon.May.02.2022 12:27:14.130,---------------------
Mon.May.02.2022 12:27:14.130,
Mon.May.02.2022 12:27:14.130,---------------------
Mon.May.02.2022 12:27:14.130,Map <QString, int>
Mon.May.02.2022 12:27:14.130,---------------------
Mon.May.02.2022 12:27:14.130,  <map>:	 a:1
Mon.May.02.2022 12:27:14.130,  <map>:	 b:2
Mon.May.02.2022 12:27:14.130,---------------------
Mon.May.02.2022 12:27:14.133,
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,Register Bank
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,  <int>:	 13
Mon.May.02.2022 12:27:14.133,  <float>:	 -2.3763
Mon.May.02.2022 12:27:14.133,  <std::string>:	 MCU is reading properly
Mon.May.02.2022 12:27:14.133,  <uint8_t>:	 253
Mon.May.02.2022 12:27:14.133,  <int8_t>:	 -12
Mon.May.02.2022 12:27:14.133,  <char>:	 G
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,Array of Integers
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,  <int>:	 99
Mon.May.02.2022 12:27:14.133,  <int>:	 2
Mon.May.02.2022 12:27:14.133,  <int>:	 3
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,Map <QString, int>
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,  <map>:	 a:1
Mon.May.02.2022 12:27:14.133,  <map>:	 b:2
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,Register Bank
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,  <int>:	 13
Mon.May.02.2022 12:27:14.133,  <float>:	 -2.3538
Mon.May.02.2022 12:27:14.133,  <std::string>:	 MCU is reading properly
Mon.May.02.2022 12:27:14.133,  <uint8_t>:	 253
Mon.May.02.2022 12:27:14.133,  <int8_t>:	 -12
Mon.May.02.2022 12:27:14.133,  <char>:	 G
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,Array of Integers
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,  <int>:	 99
Mon.May.02.2022 12:27:14.133,  <int>:	 2
Mon.May.02.2022 12:27:14.133,  <int>:	 3
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,
Mon.May.02.2022 12:27:14.133,---------------------
Mon.May.02.2022 12:27:14.133,Map <QString, int>
Mon.May.02.2022 12:27:14.133,---------------------
