DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 15:36:17.735,13,2.19911,MCU is reading properly,253,-12,G,65.82 Hz,4.70 Hz,0,409,107
Mon.May.02.2022 15:36:17.735,13,2.20617,MCU is reading properly,253,-12,G,47.01 Hz,4.70 Hz,0,409,107
Mon.May.02.2022 15:36:17.750,13,2.21473,MCU is reading properly,253,-12,G,48.73 Hz,4.70 Hz,0,409,108
Mon.May.02.2022 15:36:17.750,13,2.21473,MCU is reading properly,253,-12,G,48.57 Hz,4.70 Hz,0,409,108
Mon.May.02.2022 15:36:17.766,13,2.22481,MCU is reading properly,253,-12,G,68.95 Hz,4.70 Hz,0,409,109
Mon.May.02.2022 15:36:17.766,13,2.22481,MCU is reading properly,253,-12,G,65.28 Hz,4.70 Hz,0,409,109
Mon.May.02.2022 15:36:17.766,13,2.23631,MCU is reading properly,253,-12,G,65.91 Hz,4.70 Hz,0,409,109
Mon.May.02.2022 15:36:17.782,13,2.24922,MCU is reading properly,253,-12,G,65.80 Hz,4.70 Hz,0,409,110
Mon.May.02.2022 15:36:17.782,13,2.26365,MCU is reading properly,253,-12,G,65.82 Hz,4.70 Hz,0,409,110
Mon.May.02.2022 15:36:17.782,13,2.27936,MCU is reading properly,253,-12,G,65.82 Hz,4.70 Hz,0,409,110
Mon.May.02.2022 15:36:17.782,13,2.29634,MCU is reading properly,253,-12,G,65.82 Hz,4.70 Hz,0,409,110
Mon.May.02.2022 15:36:17.798,13,2.31437,MCU is reading properly,253,-12,G,65.82 Hz,4.70 Hz,0,409,111
Mon.May.02.2022 15:36:17.834,13,2.33355,MCU is reading properly,253,-12,G,65.82 Hz,4.70 Hz,0,362,112
Mon.May.02.2022 15:36:17.834,13,2.35396,MCU is reading properly,253,-12,G,47.01 Hz,4.70 Hz,0,362,112
Mon.May.02.2022 15:36:17.834,13,2.37542,MCU is reading properly,253,-12,G,48.73 Hz,4.70 Hz,0,362,112
Mon.May.02.2022 15:36:17.834,13,2.39797,MCU is reading properly,253,-12,G,48.57 Hz,4.70 Hz,0,362,112
Mon.May.02.2022 15:36:17.834,13,2.39797,MCU is reading properly,253,-12,G,70.90 Hz,4.70 Hz,0,362,112
Mon.May.02.2022 15:36:17.850,13,2.42155,MCU is reading properly,253,-12,G,66.68 Hz,4.70 Hz,0,362,113
Mon.May.02.2022 15:36:17.850,13,2.44612,MCU is reading properly,253,-12,G,67.44 Hz,4.70 Hz,0,362,113
Mon.May.02.2022 15:36:17.850,13,2.47163,MCU is reading properly,253,-12,G,67.30 Hz,4.70 Hz,0,362,113
Mon.May.02.2022 15:36:17.850,13,2.49812,MCU is reading properly,253,-12,G,67.33 Hz,4.70 Hz,0,362,113
Mon.May.02.2022 15:36:17.866,13,2.52546,MCU is reading properly,253,-12,G,67.32 Hz,4.70 Hz,0,362,114
Mon.May.02.2022 15:36:17.999,13,2.55361,MCU is reading properly,253,-12,G,67.32 Hz,4.70 Hz,0,370,115
Mon.May.02.2022 15:36:18.000,13,2.58243,MCU is reading properly,253,-12,G,46.79 Hz,4.70 Hz,0,370,115
Mon.May.02.2022 15:36:18.000,13,2.61204,MCU is reading properly,253,-12,G,48.66 Hz,4.70 Hz,0,370,115
Mon.May.02.2022 15:36:18.000,13,2.64194,MCU is reading properly,253,-12,G,48.48 Hz,4.70 Hz,0,370,115
Mon.May.02.2022 15:36:18.000,13,2.64194,MCU is reading properly,253,-12,G,68.77 Hz,4.70 Hz,0,370,115
Mon.May.02.2022 15:36:18.016,13,2.67207,MCU is reading properly,253,-12,G,65.14 Hz,4.70 Hz,0,370,116
Mon.May.02.2022 15:36:18.016,13,2.67207,MCU is reading properly,253,-12,G,65.76 Hz,4.70 Hz,0,370,116
Mon.May.02.2022 15:36:18.016,13,2.70272,MCU is reading properly,253,-12,G,65.65 Hz,4.70 Hz,0,370,116
Mon.May.02.2022 15:36:18.016,13,2.73384,MCU is reading properly,253,-12,G,65.67 Hz,4.70 Hz,0,370,116
Mon.May.02.2022 15:36:18.035,13,2.76539,MCU is reading properly,253,-12,G,65.67 Hz,4.70 Hz,0,370,117
Mon.May.02.2022 15:36:18.035,13,2.79732,MCU is reading properly,253,-12,G,65.67 Hz,4.70 Hz,0,370,117
Mon.May.02.2022 15:36:18.151,13,2.82947,MCU is reading properly,253,-12,G,65.67 Hz,3.95 Hz,0,401,118
Mon.May.02.2022 15:36:18.151,13,2.86189,MCU is reading properly,253,-12,G,47.02 Hz,3.95 Hz,0,401,118
Mon.May.02.2022 15:36:18.151,13,2.89454,MCU is reading properly,253,-12,G,48.73 Hz,3.95 Hz,0,401,118
Mon.May.02.2022 15:36:18.151,13,2.92735,MCU is reading properly,253,-12,G,48.57 Hz,3.95 Hz,0,401,118
Mon.May.02.2022 15:36:18.166,13,2.96028,MCU is reading properly,253,-12,G,48.58 Hz,3.95 Hz,0,401,119
Mon.May.02.2022 15:36:18.166,13,2.99329,MCU is reading properly,253,-12,G,68.95 Hz,3.95 Hz,0,401,119
Mon.May.02.2022 15:36:18.166,13,2.99329,MCU is reading properly,253,-12,G,65.28 Hz,3.95 Hz,0,401,119
Mon.May.02.2022 15:36:18.166,13,3.02631,MCU is reading properly,253,-12,G,65.91 Hz,3.95 Hz,0,401,119
Mon.May.02.2022 15:36:18.182,13,3.0592,MCU is reading properly,253,-12,G,65.80 Hz,3.95 Hz,0,401,120
Mon.May.02.2022 15:36:18.182,13,3.0921,MCU is reading properly,253,-12,G,65.82 Hz,3.95 Hz,0,401,120
Mon.May.02.2022 15:36:18.182,13,3.12487,MCU is reading properly,253,-12,G,65.82 Hz,3.95 Hz,0,401,120
Mon.May.02.2022 15:36:18.313,13,3.15747,MCU is reading properly,253,-12,G,65.82 Hz,3.95 Hz,0,370,121
Mon.May.02.2022 15:36:18.313,13,3.18983,MCU is reading properly,253,-12,G,46.22 Hz,3.95 Hz,0,370,121
Mon.May.02.2022 15:36:18.313,13,3.22191,MCU is reading properly,253,-12,G,47.96 Hz,3.95 Hz,0,370,121
Mon.May.02.2022 15:36:18.329,13,3.25348,MCU is reading properly,253,-12,G,47.80 Hz,3.95 Hz,0,370,122
Mon.May.02.2022 15:36:18.335,13,3.28486,MCU is reading properly,253,-12,G,69.48 Hz,3.95 Hz,0,370,122
Mon.May.02.2022 15:36:18.335,13,3.28486,MCU is reading properly,253,-12,G,65.53 Hz,3.95 Hz,0,370,122
Mon.May.02.2022 15:36:18.335,13,3.31582,MCU is reading properly,253,-12,G,66.22 Hz,3.95 Hz,0,370,122
Mon.May.02.2022 15:36:18.335,13,3.31582,MCU is reading properly,253,-12,G,66.10 Hz,3.95 Hz,0,370,122
Mon.May.02.2022 15:36:18.351,13,3.34632,MCU is reading properly,253,-12,G,66.12 Hz,3.95 Hz,0,370,123
Mon.May.02.2022 15:36:18.351,13,3.37631,MCU is reading properly,253,-12,G,66.11 Hz,3.95 Hz,0,370,123
Mon.May.02.2022 15:36:18.351,13,3.40582,MCU is reading properly,253,-12,G,66.11 Hz,3.95 Hz,0,370,123
Mon.May.02.2022 15:36:18.467,13,3.43465,MCU is reading properly,253,-12,G,66.11 Hz,3.95 Hz,0,401,124
Mon.May.02.2022 15:36:18.467,13,3.46284,MCU is reading properly,253,-12,G,47.07 Hz,3.95 Hz,0,401,124
Mon.May.02.2022 15:36:18.467,13,3.49034,MCU is reading properly,253,-12,G,48.82 Hz,3.95 Hz,0,401,124
Mon.May.02.2022 15:36:18.467,13,3.51728,MCU is reading properly,253,-12,G,48.65 Hz,3.95 Hz,0,401,124
Mon.May.02.2022 15:36:18.467,13,3.5436,MCU is reading properly,253,-12,G,68.93 Hz,3.95 Hz,0,401,124
Mon.May.02.2022 15:36:18.482,13,3.56888,MCU is reading properly,253,-12,G,65.28 Hz,3.95 Hz,0,401,125
Mon.May.02.2022 15:36:18.482,13,3.59338,MCU is reading properly,253,-12,G,65.91 Hz,3.95 Hz,0,401,125
Mon.May.02.2022 15:36:18.482,13,3.59338,MCU is reading properly,253,-12,G,65.80 Hz,3.95 Hz,0,401,125
Mon.May.02.2022 15:36:18.482,13,3.61701,MCU is reading properly,253,-12,G,65.82 Hz,3.95 Hz,0,401,125
Mon.May.02.2022 15:36:18.498,13,3.63965,MCU is reading properly,253,-12,G,65.82 Hz,3.95 Hz,0,401,126
Mon.May.02.2022 15:36:18.498,13,3.66134,MCU is reading properly,253,-12,G,65.82 Hz,3.95 Hz,0,401,126
Mon.May.02.2022 15:36:18.614,13,3.68211,MCU is reading properly,253,-12,G,65.82 Hz,3.95 Hz,0,370,127
Mon.May.02.2022 15:36:18.614,13,3.70181,MCU is reading properly,253,-12,G,47.54 Hz,3.95 Hz,0,370,127
Mon.May.02.2022 15:36:18.614,13,3.72053,MCU is reading properly,253,-12,G,49.25 Hz,3.95 Hz,0,370,127
Mon.May.02.2022 15:36:18.614,13,3.73818,MCU is reading properly,253,-12,G,49.09 Hz,3.95 Hz,0,370,127
Mon.May.02.2022 15:36:18.629,13,3.75473,MCU is reading properly,253,-12,G,71.82 Hz,3.95 Hz,0,370,128
Mon.May.02.2022 15:36:18.636,13,3.77012,MCU is reading properly,253,-12,G,67.41 Hz,3.95 Hz,0,370,128
Mon.May.02.2022 15:36:18.636,13,3.77012,MCU is reading properly,253,-12,G,68.22 Hz,3.95 Hz,0,370,128
Mon.May.02.2022 15:36:18.636,13,3.78438,MCU is reading properly,253,-12,G,68.07 Hz,3.95 Hz,0,370,128
Mon.May.02.2022 15:36:18.636,13,3.78438,MCU is reading properly,253,-12,G,68.10 Hz,3.95 Hz,0,370,128
Mon.May.02.2022 15:36:18.652,13,3.79751,MCU is reading properly,253,-12,G,68.10 Hz,3.95 Hz,0,370,128
Mon.May.02.2022 15:36:18.652,13,3.80966,MCU is reading properly,253,-12,G,68.10 Hz,3.95 Hz,0,370,129
Mon.May.02.2022 15:36:18.767,13,3.82061,MCU is reading properly,253,-12,G,68.10 Hz,3.95 Hz,0,362,130
Mon.May.02.2022 15:36:18.773,13,3.83025,MCU is reading properly,253,-12,G,48.07 Hz,3.95 Hz,0,362,130
Mon.May.02.2022 15:36:18.776,13,3.83864,MCU is reading properly,253,-12,G,49.99 Hz,3.95 Hz,0,362,130
Mon.May.02.2022 15:36:18.783,13,3.84574,MCU is reading properly,253,-12,G,49.80 Hz,3.95 Hz,0,362,131
Mon.May.02.2022 15:36:18.788,13,3.85153,MCU is reading properly,253,-12,G,71.67 Hz,3.95 Hz,0,362,131
Mon.May.02.2022 15:36:18.795,13,3.85601,MCU is reading properly,253,-12,G,67.44 Hz,3.95 Hz,0,362,132
Mon.May.02.2022 15:36:18.799,13,3.85916,MCU is reading properly,253,-12,G,68.22 Hz,3.95 Hz,0,362,132
Mon.May.02.2022 15:36:18.803,13,3.86098,MCU is reading properly,253,-12,G,68.07 Hz,3.95 Hz,0,362,132
Mon.May.02.2022 15:36:18.808,13,3.86098,MCU is reading properly,253,-12,G,68.10 Hz,3.95 Hz,0,362,133
Mon.May.02.2022 15:36:18.812,13,3.86147,MCU is reading properly,253,-12,G,68.10 Hz,3.95 Hz,0,362,133
Mon.May.02.2022 15:36:18.927,13,3.86064,MCU is reading properly,253,-12,G,68.10 Hz,3.95 Hz,0,370,134
Mon.May.02.2022 15:36:18.931,13,3.85847,MCU is reading properly,253,-12,G,47.79 Hz,3.95 Hz,0,370,134
Mon.May.02.2022 15:36:18.935,13,3.85498,MCU is reading properly,253,-12,G,49.72 Hz,3.95 Hz,0,370,134
Mon.May.02.2022 15:36:18.941,13,3.85016,MCU is reading properly,253,-12,G,49.53 Hz,3.95 Hz,0,370,135
Mon.May.02.2022 15:36:18.945,13,3.84402,MCU is reading properly,253,-12,G,49.55 Hz,3.95 Hz,0,370,135
Mon.May.02.2022 15:36:18.951,13,3.8366,MCU is reading properly,253,-12,G,69.72 Hz,3.95 Hz,0,370,136
Mon.May.02.2022 15:36:18.954,13,3.82808,MCU is reading properly,253,-12,G,66.01 Hz,3.95 Hz,0,370,136
Mon.May.02.2022 15:36:18.958,13,3.81833,MCU is reading properly,253,-12,G,66.66 Hz,3.95 Hz,0,370,136
Mon.May.02.2022 15:36:18.964,13,3.81833,MCU is reading properly,253,-12,G,66.54 Hz,3.95 Hz,0,370,137
Mon.May.02.2022 15:36:18.968,13,3.80736,MCU is reading properly,253,-12,G,66.57 Hz,3.95 Hz,0,370,137
Mon.May.02.2022 15:36:18.973,13,3.80736,MCU is reading properly,253,-12,G,66.56 Hz,3.95 Hz,0,370,138
Mon.May.02.2022 15:36:19.083,13,3.79516,MCU is reading properly,253,-12,G,66.56 Hz,3.41 Hz,0,390,139
Mon.May.02.2022 15:36:19.087,13,3.78176,MCU is reading properly,253,-12,G,47.03 Hz,3.41 Hz,0,390,139
Mon.May.02.2022 15:36:19.091,13,3.76724,MCU is reading properly,253,-12,G,48.82 Hz,3.41 Hz,0,390,139
Mon.May.02.2022 15:36:19.097,13,3.75157,MCU is reading properly,253,-12,G,48.65 Hz,3.41 Hz,0,390,140
Mon.May.02.2022 15:36:19.101,13,3.73473,MCU is reading properly,253,-12,G,48.67 Hz,3.41 Hz,0,390,140
Mon.May.02.2022 15:36:19.107,13,3.71677,MCU is reading properly,253,-12,G,69.31 Hz,3.41 Hz,0,390,141
Mon.May.02.2022 15:36:19.110,13,3.69773,MCU is reading properly,253,-12,G,65.56 Hz,3.41 Hz,0,390,141
Mon.May.02.2022 15:36:19.117,13,3.67763,MCU is reading properly,253,-12,G,66.21 Hz,3.41 Hz,0,390,142
Mon.May.02.2022 15:36:19.121,13,3.65656,MCU is reading properly,253,-12,G,66.10 Hz,3.41 Hz,0,390,142
Mon.May.02.2022 15:36:19.125,13,3.6345,MCU is reading properly,253,-12,G,66.12 Hz,3.41 Hz,0,390,142
Mon.May.02.2022 15:36:19.241,13,3.6345,MCU is reading properly,253,-12,G,66.11 Hz,3.41 Hz,0,362,143
Mon.May.02.2022 15:36:19.245,13,3.61133,MCU is reading properly,253,-12,G,46.72 Hz,3.41 Hz,0,362,143
Mon.May.02.2022 15:36:19.249,13,3.5872,MCU is reading properly,253,-12,G,48.47 Hz,3.41 Hz,0,362,143
Mon.May.02.2022 15:36:19.255,13,3.56217,MCU is reading properly,253,-12,G,48.31 Hz,3.41 Hz,0,362,144
Mon.May.02.2022 15:36:19.258,13,3.53625,MCU is reading properly,253,-12,G,48.32 Hz,3.41 Hz,0,362,144
Mon.May.02.2022 15:36:19.266,13,3.50948,MCU is reading properly,253,-12,G,69.19 Hz,3.41 Hz,0,362,145
Mon.May.02.2022 15:36:19.269,13,3.48191,MCU is reading properly,253,-12,G,65.41 Hz,3.41 Hz,0,362,145
Mon.May.02.2022 15:36:19.272,13,3.45356,MCU is reading properly,253,-12,G,66.06 Hz,3.41 Hz,0,362,145
Mon.May.02.2022 15:36:19.278,13,3.42466,MCU is reading properly,253,-12,G,65.95 Hz,3.41 Hz,0,362,146
Mon.May.02.2022 15:36:19.282,13,3.3948,MCU is reading properly,253,-12,G,65.97 Hz,3.41 Hz,0,362,146
Mon.May.02.2022 15:36:19.401,13,3.3948,MCU is reading properly,253,-12,G,65.96 Hz,3.41 Hz,0,370,147
Mon.May.02.2022 15:36:19.404,13,3.36437,MCU is reading properly,253,-12,G,46.47 Hz,3.41 Hz,0,370,147
Mon.May.02.2022 15:36:19.407,13,3.36437,MCU is reading properly,253,-12,G,48.22 Hz,3.41 Hz,0,370,147
Mon.May.02.2022 15:36:19.413,13,3.33332,MCU is reading properly,253,-12,G,48.05 Hz,3.41 Hz,0,370,148
Mon.May.02.2022 15:36:19.416,13,3.3017,MCU is reading properly,253,-12,G,48.07 Hz,3.41 Hz,0,370,148
Mon.May.02.2022 15:36:19.419,13,3.26956,MCU is reading properly,253,-12,G,48.07 Hz,3.41 Hz,0,370,148
