DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 16:02:53.694,13,2.07071,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.715,13,2.07071,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2058
Mon.May.02.2022 16:02:53.715,13,2.05462,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2058
Mon.May.02.2022 16:02:53.715,13,2.03914,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2058
Mon.May.02.2022 16:02:53.820,13,2.02433,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.820,13,2.01015,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.820,13,1.99672,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.820,13,1.99672,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.820,13,1.98404,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.841,13,1.97213,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.841,13,1.96103,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.841,13,1.9509,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.841,13,1.94173,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.862,13,1.94173,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.869,13,1.93343,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.973,13,1.926,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
Mon.May.02.2022 16:02:53.973,13,1.9195,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
Mon.May.02.2022 16:02:53.973,13,1.91393,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
Mon.May.02.2022 16:02:53.994,13,1.90932,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
Mon.May.02.2022 16:02:53.994,13,1.90568,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
Mon.May.02.2022 16:02:53.994,13,1.90302,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
Mon.May.02.2022 16:02:53.994,13,1.90137,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
Mon.May.02.2022 16:02:54.015,13,1.90079,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2058
Mon.May.02.2022 16:02:54.015,13,1.90131,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2058
Mon.May.02.2022 16:02:54.137,13,1.90131,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:54.137,13,1.90293,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:54.137,13,1.90567,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:54.137,13,1.90952,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:54.137,13,1.9145,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:54.157,13,1.9145,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:54.157,13,1.92058,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:54.157,13,1.92782,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:54.174,13,1.9362,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:54.174,13,1.94572,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:54.174,13,1.95637,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:54.174,13,1.96814,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:54.295,13,1.96814,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.295,13,1.98104,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.295,13,1.99509,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.295,13,2.01011,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.295,13,2.02596,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.316,13,2.04285,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.316,13,2.06075,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.316,13,2.07965,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.316,13,2.0996,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.337,13,2.12045,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.458,13,2.14225,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:54.458,13,2.14225,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:54.458,13,2.16496,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:54.475,13,2.18857,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:54.475,13,2.21312,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:54.475,13,2.23853,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:54.475,13,2.23853,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2053
Mon.May.02.2022 16:02:54.495,13,2.26467,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2054
Mon.May.02.2022 16:02:54.495,13,2.29152,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2054
Mon.May.02.2022 16:02:54.495,13,2.31937,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2054
Mon.May.02.2022 16:02:54.495,13,2.34786,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2054
Mon.May.02.2022 16:02:54.495,13,2.37714,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2054
Mon.May.02.2022 16:02:54.596,13,2.40707,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.596,13,2.40707,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.596,13,2.43754,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.617,13,2.4686,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.617,13,2.5002,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.617,13,2.53232,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.617,13,2.56499,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.637,13,2.5981,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.637,13,2.6316,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.637,13,2.66545,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2054
Mon.May.02.2022 16:02:54.758,13,2.6996,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2053
