DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,graph(0)->data.size()
Mon.May.02.2022 13:17:37.328,13,3.32629,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,310
Mon.May.02.2022 13:17:37.328,13,3.29455,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,310
Mon.May.02.2022 13:17:37.344,13,3.26229,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,311
Mon.May.02.2022 13:17:37.459,13,3.22955,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,312
Mon.May.02.2022 13:17:37.459,13,3.19638,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,312
Mon.May.02.2022 13:17:37.459,13,3.16282,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,312
Mon.May.02.2022 13:17:37.459,13,3.12892,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,312
Mon.May.02.2022 13:17:37.475,13,3.09471,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,313
Mon.May.02.2022 13:17:37.482,13,3.06015,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,313
Mon.May.02.2022 13:17:37.482,13,3.02548,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,313
Mon.May.02.2022 13:17:37.482,13,2.99065,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,313
Mon.May.02.2022 13:17:37.482,13,2.99065,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,313
Mon.May.02.2022 13:17:37.482,13,2.99065,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,313
Mon.May.02.2022 13:17:37.497,13,2.9558,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,314
Mon.May.02.2022 13:17:37.497,13,2.92078,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,314
Mon.May.02.2022 13:17:37.613,13,2.88574,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,315
Mon.May.02.2022 13:17:37.613,13,2.85071,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,315
Mon.May.02.2022 13:17:37.613,13,2.81575,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,315
Mon.May.02.2022 13:17:37.613,13,2.7809,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,315
Mon.May.02.2022 13:17:37.613,13,2.74621,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,315
Mon.May.02.2022 13:17:37.629,13,2.71182,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,316
Mon.May.02.2022 13:17:37.629,13,2.67757,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,316
Mon.May.02.2022 13:17:37.629,13,2.64361,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,316
Mon.May.02.2022 13:17:37.776,13,2.64361,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,317
Mon.May.02.2022 13:17:37.776,13,2.60998,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,317
Mon.May.02.2022 13:17:37.782,13,2.57673,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,317
Mon.May.02.2022 13:17:37.782,13,2.5439,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,317
Mon.May.02.2022 13:17:37.782,13,2.51161,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,317
Mon.May.02.2022 13:17:37.782,13,2.47991,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,317
Mon.May.02.2022 13:17:37.782,13,2.44866,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,317
Mon.May.02.2022 13:17:37.798,13,2.41797,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,318
Mon.May.02.2022 13:17:37.798,13,2.38789,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,318
Mon.May.02.2022 13:17:37.798,13,2.35846,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,318
Mon.May.02.2022 13:17:37.814,13,2.32971,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,319
Mon.May.02.2022 13:17:37.929,13,2.32971,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,320
Mon.May.02.2022 13:17:37.929,13,2.32971,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,320
Mon.May.02.2022 13:17:37.929,13,2.30168,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,320
Mon.May.02.2022 13:17:37.929,13,2.27439,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,320
Mon.May.02.2022 13:17:37.946,13,2.24795,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,321
Mon.May.02.2022 13:17:37.946,13,2.22225,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,321
Mon.May.02.2022 13:17:37.946,13,2.19738,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,321
Mon.May.02.2022 13:17:37.946,13,2.17345,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,321
Mon.May.02.2022 13:17:37.946,13,2.15041,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,321
Mon.May.02.2022 13:17:37.962,13,2.12828,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,322
Mon.May.02.2022 13:17:37.962,13,2.10714,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,322
Mon.May.02.2022 13:17:38.098,13,2.0869,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,323
Mon.May.02.2022 13:17:38.098,13,2.0869,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,323
Mon.May.02.2022 13:17:38.098,13,2.06757,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,323
Mon.May.02.2022 13:17:38.098,13,2.0493,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,323
Mon.May.02.2022 13:17:38.114,13,2.03204,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,324
Mon.May.02.2022 13:17:38.114,13,2.01581,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,324
Mon.May.02.2022 13:17:38.114,13,2.00048,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,324
Mon.May.02.2022 13:17:38.114,13,1.98599,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,324
Mon.May.02.2022 13:17:38.130,13,1.97261,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,325
Mon.May.02.2022 13:17:38.130,13,1.9604,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,325
Mon.May.02.2022 13:17:38.130,13,1.94933,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,325
Mon.May.02.2022 13:17:38.262,13,1.93944,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,326
Mon.May.02.2022 13:17:38.262,13,1.93944,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,326
Mon.May.02.2022 13:17:38.262,13,1.93944,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,326
Mon.May.02.2022 13:17:38.262,13,1.93066,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,326
Mon.May.02.2022 13:17:38.262,13,1.92299,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,326
Mon.May.02.2022 13:17:38.278,13,1.91647,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,327
Mon.May.02.2022 13:17:38.284,13,1.9111,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,327
Mon.May.02.2022 13:17:38.284,13,1.90686,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,327
Mon.May.02.2022 13:17:38.284,13,1.90374,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,327
Mon.May.02.2022 13:17:38.284,13,1.90174,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,327
Mon.May.02.2022 13:17:38.284,13,1.90085,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,327
Mon.May.02.2022 13:17:38.299,13,1.90105,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,328
Mon.May.02.2022 13:17:38.415,13,1.90233,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,329
Mon.May.02.2022 13:17:38.415,13,1.90233,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,329
Mon.May.02.2022 13:17:38.415,13,1.90466,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,329
Mon.May.02.2022 13:17:38.415,13,1.90798,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,329
Mon.May.02.2022 13:17:38.431,13,1.91226,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,330
Mon.May.02.2022 13:17:38.431,13,1.91751,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,330
Mon.May.02.2022 13:17:38.431,13,1.9237,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,330
Mon.May.02.2022 13:17:38.431,13,1.93082,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,330
Mon.May.02.2022 13:17:38.446,13,1.93883,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,331
Mon.May.02.2022 13:17:38.446,13,1.94771,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,331
Mon.May.02.2022 13:17:38.446,13,1.9575,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,331
Mon.May.02.2022 13:17:38.578,13,1.96831,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,332
Mon.May.02.2022 13:17:38.578,13,1.96831,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,332
Mon.May.02.2022 13:17:38.584,13,1.96831,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,332
Mon.May.02.2022 13:17:38.584,13,1.97991,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,332
Mon.May.02.2022 13:17:38.584,13,1.99233,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,332
Mon.May.02.2022 13:17:38.584,13,2.00552,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,332
Mon.May.02.2022 13:17:38.584,13,2.01946,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,332
Mon.May.02.2022 13:17:38.600,13,2.03414,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,333
Mon.May.02.2022 13:17:38.600,13,2.04946,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,333
Mon.May.02.2022 13:17:38.600,13,2.0654,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,333
Mon.May.02.2022 13:17:38.616,13,2.0819,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,334
Mon.May.02.2022 13:17:38.733,13,2.09893,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,335
Mon.May.02.2022 13:17:38.733,13,2.11644,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,335
Mon.May.02.2022 13:17:38.733,13,2.11644,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,335
Mon.May.02.2022 13:17:38.733,13,2.13439,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,335
Mon.May.02.2022 13:17:38.733,13,2.15272,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,335
Mon.May.02.2022 13:17:38.748,13,2.1714,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,336
Mon.May.02.2022 13:17:38.748,13,2.19037,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,336
Mon.May.02.2022 13:17:38.748,13,2.20958,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,336
Mon.May.02.2022 13:17:38.748,13,2.229,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,336
Mon.May.02.2022 13:17:38.764,13,2.24856,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,337
Mon.May.02.2022 13:17:38.764,13,2.26815,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,337
Mon.May.02.2022 13:17:38.878,13,2.28784,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,338
Mon.May.02.2022 13:17:38.878,13,2.30753,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,338
Mon.May.02.2022 13:17:38.885,13,2.30753,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,338
Mon.May.02.2022 13:17:38.885,13,2.30753,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,338
Mon.May.02.2022 13:17:38.885,13,2.3271,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,338
Mon.May.02.2022 13:17:38.885,13,2.34662,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,338
Mon.May.02.2022 13:17:38.885,13,2.36597,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,338
Mon.May.02.2022 13:17:38.900,13,2.3851,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,339
Mon.May.02.2022 13:17:38.900,13,2.40391,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,339
Mon.May.02.2022 13:17:38.900,13,2.4224,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,339
Mon.May.02.2022 13:17:38.916,13,2.44058,MCU is reading properly,253,-12,G,1.00 kHz,0.98 Hz,0,340
Mon.May.02.2022 13:17:39.047,13,2.45827,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,341
Mon.May.02.2022 13:17:39.047,13,2.47548,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,341
Mon.May.02.2022 13:17:39.047,13,2.49218,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,341
Mon.May.02.2022 13:17:39.047,13,2.49218,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,341
Mon.May.02.2022 13:17:39.063,13,2.50833,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,342
Mon.May.02.2022 13:17:39.063,13,2.52382,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,342
Mon.May.02.2022 13:17:39.063,13,2.53862,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,342
Mon.May.02.2022 13:17:39.063,13,2.55266,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,342
Mon.May.02.2022 13:17:39.063,13,2.56566,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,342
Mon.May.02.2022 13:17:39.201,13,2.57792,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,343
Mon.May.02.2022 13:17:39.201,13,2.58934,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,343
Mon.May.02.2022 13:17:39.201,13,2.59988,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,343
Mon.May.02.2022 13:17:39.201,13,2.60948,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,343
Mon.May.02.2022 13:17:39.217,13,2.61815,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,344
Mon.May.02.2022 13:17:39.217,13,2.61815,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,344
Mon.May.02.2022 13:17:39.217,13,2.61815,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,344
Mon.May.02.2022 13:17:39.217,13,2.62582,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,344
Mon.May.02.2022 13:17:39.217,13,2.63241,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,344
Mon.May.02.2022 13:17:39.232,13,2.63797,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,345
Mon.May.02.2022 13:17:39.232,13,2.64241,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,345
Mon.May.02.2022 13:17:39.232,13,2.64571,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,345
Mon.May.02.2022 13:17:39.232,13,2.64782,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,345
Mon.May.02.2022 13:17:39.348,13,2.6487,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,346
Mon.May.02.2022 13:17:39.348,13,2.64835,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,346
Mon.May.02.2022 13:17:39.348,13,2.64672,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,346
Mon.May.02.2022 13:17:39.348,13,2.64379,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,346
Mon.May.02.2022 13:17:39.364,13,2.64379,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,347
Mon.May.02.2022 13:17:39.364,13,2.63953,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,347
Mon.May.02.2022 13:17:39.364,13,2.63392,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,347
Mon.May.02.2022 13:17:39.364,13,2.62693,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,347
Mon.May.02.2022 13:17:39.364,13,2.61854,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,347
Mon.May.02.2022 13:17:39.379,13,2.60872,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,348
Mon.May.02.2022 13:17:39.502,13,2.59746,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,349
Mon.May.02.2022 13:17:39.502,13,2.58474,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,349
Mon.May.02.2022 13:17:39.502,13,2.5705,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,349
Mon.May.02.2022 13:17:39.502,13,2.55481,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,349
Mon.May.02.2022 13:17:39.517,13,2.53724,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,350
Mon.May.02.2022 13:17:39.517,13,2.53724,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,350
Mon.May.02.2022 13:17:39.517,13,2.53724,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,350
Mon.May.02.2022 13:17:39.517,13,2.5181,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,350
Mon.May.02.2022 13:17:39.533,13,2.4973,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,351
Mon.May.02.2022 13:17:39.533,13,2.47483,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,351
Mon.May.02.2022 13:17:39.533,13,2.45089,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,351
Mon.May.02.2022 13:17:39.664,13,2.42535,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,352
Mon.May.02.2022 13:17:39.664,13,2.3982,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,352
Mon.May.02.2022 13:17:39.664,13,2.36945,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,352
Mon.May.02.2022 13:17:39.664,13,2.3391,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,352
Mon.May.02.2022 13:17:39.664,13,2.30715,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,352
Mon.May.02.2022 13:17:39.680,13,2.27362,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,353
Mon.May.02.2022 13:17:39.687,13,2.27362,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,353
Mon.May.02.2022 13:17:39.687,13,2.2385,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,353
Mon.May.02.2022 13:17:39.687,13,2.20181,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,353
Mon.May.02.2022 13:17:39.687,13,2.16357,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,353
Mon.May.02.2022 13:17:39.819,13,2.12366,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,354
Mon.May.02.2022 13:17:39.819,13,2.08234,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,354
Mon.May.02.2022 13:17:39.819,13,2.04042,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,354
Mon.May.02.2022 13:17:39.819,13,1.99706,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,354
Mon.May.02.2022 13:17:39.835,13,1.95244,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,355
Mon.May.02.2022 13:17:39.835,13,1.90645,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,355
Mon.May.02.2022 13:17:39.835,13,1.8591,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,355
Mon.May.02.2022 13:17:39.835,13,1.8591,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,355
Mon.May.02.2022 13:17:39.851,13,1.8591,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,356
Mon.May.02.2022 13:17:39.851,13,1.81043,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,356
Mon.May.02.2022 13:17:39.851,13,1.76047,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,356
Mon.May.02.2022 13:17:39.851,13,1.70908,MCU is reading properly,253,-12,G,1.00 kHz,1.02 Hz,0,356
Mon.May.02.2022 13:17:39.981,13,1.65645,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,357
Mon.May.02.2022 13:17:39.981,13,1.6026,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,357
Mon.May.02.2022 13:17:39.987,13,1.54758,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,357
Mon.May.02.2022 13:17:39.987,13,1.49142,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,357
Mon.May.02.2022 13:17:39.987,13,1.43433,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,357
Mon.May.02.2022 13:17:39.987,13,1.37582,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,357
Mon.May.02.2022 13:17:39.987,13,1.31628,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,357
Mon.May.02.2022 13:17:40.003,13,1.31628,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,358
Mon.May.02.2022 13:17:40.003,13,1.25575,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,358
Mon.May.02.2022 13:17:40.003,13,1.19408,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,358
Mon.May.02.2022 13:17:40.134,13,1.1315,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,359
Mon.May.02.2022 13:17:40.134,13,1.06806,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,359
Mon.May.02.2022 13:17:40.134,13,1.00399,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,359
Mon.May.02.2022 13:17:40.134,13,0.939157,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,359
Mon.May.02.2022 13:17:40.150,13,0.873404,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,360
Mon.May.02.2022 13:17:40.150,13,0.806971,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,360
Mon.May.02.2022 13:17:40.150,13,0.740119,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,360
Mon.May.02.2022 13:17:40.150,13,0.672697,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,360
Mon.May.02.2022 13:17:40.166,13,0.672697,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,361
Mon.May.02.2022 13:17:40.166,13,0.672697,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,361
Mon.May.02.2022 13:17:40.166,13,0.604755,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,361
Mon.May.02.2022 13:17:40.166,13,0.536754,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,361
Mon.May.02.2022 13:17:40.304,13,0.467931,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,362
Mon.May.02.2022 13:17:40.304,13,0.398538,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,362
Mon.May.02.2022 13:17:40.304,13,0.329043,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,362
Mon.May.02.2022 13:17:40.304,13,0.259078,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,362
Mon.May.02.2022 13:17:40.319,13,0.188914,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,363
Mon.May.02.2022 13:17:40.319,13,0.118814,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,363
Mon.May.02.2022 13:17:40.319,13,0.0484095,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,363
Mon.May.02.2022 13:17:40.319,13,-0.0218215,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,363
Mon.May.02.2022 13:17:40.319,13,-0.0218215,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,363
Mon.May.02.2022 13:17:40.335,13,-0.0918293,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,364
Mon.May.02.2022 13:17:40.466,13,-0.161761,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,365
Mon.May.02.2022 13:17:40.466,13,-0.231568,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,365
Mon.May.02.2022 13:17:40.466,13,-0.301201,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,365
Mon.May.02.2022 13:17:40.466,13,-0.370597,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,365
Mon.May.02.2022 13:17:40.482,13,-0.439706,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,366
Mon.May.02.2022 13:17:40.489,13,-0.50848,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,366
Mon.May.02.2022 13:17:40.489,13,-0.57686,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,366
Mon.May.02.2022 13:17:40.489,13,-0.644799,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,366
Mon.May.02.2022 13:17:40.489,13,-0.712239,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,366
Mon.May.02.2022 13:17:40.489,13,-0.712239,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,366
Mon.May.02.2022 13:17:40.504,13,-0.712239,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,367
Mon.May.02.2022 13:17:40.504,13,-0.779133,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,367
Mon.May.02.2022 13:17:40.620,13,-0.845434,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,368
Mon.May.02.2022 13:17:40.620,13,-0.911282,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,368
Mon.May.02.2022 13:17:40.620,13,-0.976236,MCU is reading properly,253,-12,G,1.00 kHz,1.00 Hz,0,368
